objectid,creator,link,filename,title,description,subject,location,latitude,longitude,source,format,date,code
dhsi01,evan williamson,https://evanwill.github.io/example-real-project-dhsi/,https://evanwill.github.io/example-real-project-dhsi/objects/small/postcard_026_sm.jpg,The Real Digital Project,This is a real digital project created for the Digital Humanities Summer Institute (DHSI). It is an example of a collection built with CollectionBuilder.,postcards,pacific northwest,46.727485,-117.014185,U of Idaho Northwest Postcards Collection,image/jpeg,2025,https://github.com/evanwill/example-real-project-dhsi
dhsi03,Alex Beringer,https://alexjberinger.github.io/allie-bellew/,https://alexjberinger.github.io/allie-bellew/objects/small/harpersbazaar_1877_384_sm.jpg,Allie Bellew's Cartoons and Comics,"Allie Bellew is (possibly) the earliest woman cartoonist to be identified in the United States and daughter of the prolific cartoonist Frank Bellew. This collection compiles her comics and cartoons from sources including Harper's Bazar, Harper's Weekly, and elsewhere.",comics; cartoons; illustration ,Northeast US,,,,image/jpeg,2025,https://github.com/Alexjberinger/allie-bellew
dhsi05,Lisa Broughman,https://lleerandolph.github.io/buck-rmwc-draft/buck_rmwc.html,https://lleerandolph.github.io/buck-rmwc-draft/objects/1914_seniorphoto.jpg,A Look at Buck's Life as a Student and Alumna,This is a collection of items exploring Pearl S. Buck's time at Randolph-Macon Woman's College,Pearl S. Buck,"Lynchburg, Virginia",37.4149,-79.1422,Randolph College Archives,image/jpg,1914,https://github.com/lleerandolph/buck-rmwc-draft
dhsi07,Anne Howard,https://small-scream.github.io/benny-o/,https://small-scream.github.io/benny-o/objects/boh_03.jpg,Benjamin O. Sword,This is a collection of family photos. Benjamin Oscar Sword was the paternal great-grandfather of Benjamin J. Howard. He was a beloved husband to Evalyn and father of Shirley (a.k.a. Teddy).,Benjamin Oscar Sword,American West,,,personal collection of Ayne Howard,image/jpeg,2025,https://github.com/small-scream/benny-o
dhsi08,Abigayle Farrier,,,Louisa May Alcott Archive,archive of Alcott letters,letters,US northeast,42.361145,-71.057083,BYU Special Collections,record,2025-06,https://github.com/Abigayle88/lma-archive
dhsi09,Molly Appel,https://nevada-state-english.github.io/nsu-english-thesis/,https://nevada-state-english.github.io/nsu-english-thesis/objects/small/juan-diaz-defense_sm.jpg,English Honors Thesis Repository,These honors theses were researched and written by Nevada State University English majors from 2017 to the present.,documents,"Las Vegas, Nevada",35.98302092,-114.9386082,Nevada State University English Program,image/jpeg,2025-06,https://github.com/Nevada-State-English/nsu-english-thesis
dhsi10,Karina Sanchez ,https://karinasanchez18.github.io/la-guardia-newspaper/,https://karinasanchez18.github.io/la-guardia-newspaper/objects/utblac_independentvoices_laguardia_vol.7_no.11_pg.11.jpg,La Guardia Newspaper,"A 1969 Milwaukee base Newspaper, La Guardia highlights diverse culture, political turmoil, and social impact of the Latine Community.",Newspaper,"Milwaukee, Wisconsin",43.03760761,-87.92965557,Benson Latin American Collection ,image/jpeg,2025-06,https://github.com/karinasanchez18/la-guardia-newspaper
dhsi11,Dani Ezor,https://daniekc.github.io/Unboxing-EMLA/,https://daniekc.github.io/Unboxing-EMLA/objects/small/ezor_010_sm.jpg,Unboxing Early Modern Latern America,"Unboxing Early Modern Latin America considers art objects from early modern Latin America that were used as containers as often overlooked areas of decorative arts. Also developed a re-useable template, https://art-history-department-kenyon.github.io/Exhibition_Template/",box; container; decorative arts; material culture; Latin America; early modern,,,,,image/jpeg,2025-06-06,https://github.com/DaniEKC/Unboxing-EMLA
dhsi12,Alex Ohemeng,https://github.com/Xela-ohemeng/picturing-national-icon-dhsi,,Picturing National Iconinc Image,"This is a collection of different iterarions of an iconic Ghanaian image, that has been adopted in the tourism sector of the country.",,,,,,record,2025-06-06,https://github.com/Xela-ohemeng/picturing-national-icon-dhsi
dhsi13,Victoria Landau,https://vgdlandau.github.io/collectionbuilder-202506/,https://vgdlandau.github.io/collectionbuilder-202506/assets/img/featuredimage_collectionbuilder.jpg,Papyri - Ancient Heritage Journeying Through Time: Papyrus Collections in Canadian GLAM Institutions,"Follow the papyri traveling continents, switching owners and weaving through the antiquities market since the 19th century.",ancient heritage,Canada,56.130366,-106.346771,N/A,image/jpeg,2025-06-06,https://github.com/vgdlandau/collectionbuilder-202506
dhsi14,Melinda Susanto,https://melindasusanto.github.io/dhsi-project/,https://melindasusanto.github.io/dhsi-project/objects/small/bm000628062_sm.jpg,Island of Diversity: Stories of Biodiversity and Cultural Connections in Sri Lanka,This project re-connects digital sources to understand the historical environment of Sri Lanka as an island,herbaria; plants,,,,"Bibliotheque de l’Institute de France, Paris, Ms. 3912",image/jpeg,2025-06,https://github.com/melindasusanto/dhsi-project
dhsi15,Kyra Dezjot ,,,New England Jews and Nazi Youth,"A collection of images, newspaper articles and videos surrounding Nazi Youth Camps in New England and their proximity to Jewish communities from 1933-1939.",,"New England, U.S.A. ",,,,record,2025,https://github.com/kyradezjot/american-jews-draft
dhsi16,Musa Kazim Azimli,https://mka-2025.github.io/worldsfairs01/,https://mka-2025.github.io/worldsfairs01/objects/small/1893_birds_eye_view_of_chicago_worlds_columbian_exposition_sm.jpg,World Expositions Collection,A digital exhibition explores four pivotal 19th-century World Expositions,Worldsfair; urbanism; exhibition; expo; 19thcentury,,,,Wikidata,image/jpeg,2025-06-06,https://github.com/mka-2025/worldsfairs01